task_id,family,model,no_skill,binding_only,matched_near,matched_far,lure_near,lure_far,primary_delta,causal_delta
json_2.1.1/valid_seen/look_at_obj_in_light-Pillow-None-DeskLamp-302/trial_T20190909_150916_682139/game.tw-pddl,look_at_obj_in_light,phi4_mini,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/look_at_obj_in_light-Pillow-None-DeskLamp-302/trial_T20190909_150916_682139/game.tw-pddl,look_at_obj_in_light,qwen3_4b,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/look_at_obj_in_light-Statue-None-DeskLamp-216/trial_T20190909_193045_208933/game.tw-pddl,look_at_obj_in_light,mistral7b_v03,0,1,1,1,0,0,1,0
json_2.1.1/valid_seen/look_at_obj_in_light-Statue-None-DeskLamp-216/trial_T20190909_193045_208933/game.tw-pddl,look_at_obj_in_light,phi4_mini,0,1,1,1,0,0,1,0
json_2.1.1/valid_seen/look_at_obj_in_light-Statue-None-DeskLamp-216/trial_T20190909_193045_208933/game.tw-pddl,look_at_obj_in_light,qwen3_4b,0,1,1,1,0,0,1,0
json_2.1.1/valid_seen/look_at_obj_in_light-Vase-None-DeskLamp-303/trial_T20190907_150418_457594/game.tw-pddl,look_at_obj_in_light,mistral7b_v03,0,1,1,1,0,0,1,0
json_2.1.1/valid_seen/look_at_obj_in_light-Vase-None-DeskLamp-303/trial_T20190907_150418_457594/game.tw-pddl,look_at_obj_in_light,phi4_mini,0,1,1,1,0,0,1,0
json_2.1.1/valid_seen/look_at_obj_in_light-Vase-None-DeskLamp-303/trial_T20190907_150418_457594/game.tw-pddl,look_at_obj_in_light,qwen3_4b,1,1,1,1,0,0,1,0
json_2.1.1/valid_seen/pick_and_place_simple-Book-None-Sofa-229/trial_T20190907_042856_259139/game.tw-pddl,pick_and_place_simple,mistral7b_v03,0,0,1,1,1,0,0,1
json_2.1.1/valid_seen/pick_and_place_simple-Book-None-Sofa-229/trial_T20190907_042856_259139/game.tw-pddl,pick_and_place_simple,phi4_mini,0,0,1,1,1,0,0,1
json_2.1.1/valid_seen/pick_and_place_simple-Book-None-Sofa-229/trial_T20190907_042856_259139/game.tw-pddl,pick_and_place_simple,qwen3_4b,0,1,1,1,1,0,0,0
json_2.1.1/valid_seen/pick_and_place_simple-CellPhone-None-Bed-324/trial_T20190907_233817_198528/game.tw-pddl,pick_and_place_simple,mistral7b_v03,0,0,1,1,1,0,0,1
json_2.1.1/valid_seen/pick_and_place_simple-CellPhone-None-Bed-324/trial_T20190907_233817_198528/game.tw-pddl,pick_and_place_simple,phi4_mini,0,0,1,1,1,0,0,1
json_2.1.1/valid_seen/pick_and_place_simple-CellPhone-None-Bed-324/trial_T20190907_233817_198528/game.tw-pddl,pick_and_place_simple,qwen3_4b,0,1,1,1,1,0,0,0
json_2.1.1/valid_seen/pick_and_place_simple-CreditCard-None-Drawer-227/trial_T20190909_010644_297017/game.tw-pddl,pick_and_place_simple,mistral7b_v03,1,0,1,1,1,0,0,1
json_2.1.1/valid_seen/pick_and_place_simple-CreditCard-None-Drawer-227/trial_T20190909_010644_297017/game.tw-pddl,pick_and_place_simple,phi4_mini,0,0,1,1,1,0,0,1
json_2.1.1/valid_seen/pick_and_place_simple-CreditCard-None-Drawer-227/trial_T20190909_010644_297017/game.tw-pddl,pick_and_place_simple,qwen3_4b,0,0,1,1,1,0,0,1
json_2.1.1/valid_seen/pick_and_place_simple-Egg-None-Microwave-4/trial_T20190906_234406_356490/game.tw-pddl,pick_and_place_simple,mistral7b_v03,1,0,1,1,1,0,0,1
json_2.1.1/valid_seen/pick_and_place_simple-Egg-None-Microwave-4/trial_T20190906_234406_356490/game.tw-pddl,pick_and_place_simple,phi4_mini,0,0,1,1,1,0,0,1
json_2.1.1/valid_seen/pick_and_place_simple-Egg-None-Microwave-4/trial_T20190906_234406_356490/game.tw-pddl,pick_and_place_simple,qwen3_4b,0,0,1,1,1,0,0,1
json_2.1.1/valid_seen/pick_and_place_simple-Mug-None-SideTable-329/trial_T20190909_032340_274147/game.tw-pddl,pick_and_place_simple,mistral7b_v03,0,1,1,1,0,0,1,0
json_2.1.1/valid_seen/pick_and_place_simple-Mug-None-SideTable-329/trial_T20190909_032340_274147/game.tw-pddl,pick_and_place_simple,phi4_mini,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_and_place_simple-Mug-None-SideTable-329/trial_T20190909_032340_274147/game.tw-pddl,pick_and_place_simple,qwen3_4b,0,1,1,1,0,0,1,0
json_2.1.1/valid_seen/pick_and_place_simple-Pencil-None-Desk-310/trial_T20190909_113054_894334/game.tw-pddl,pick_and_place_simple,mistral7b_v03,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_and_place_simple-Pencil-None-Desk-310/trial_T20190909_113054_894334/game.tw-pddl,pick_and_place_simple,phi4_mini,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_and_place_simple-Pencil-None-Desk-310/trial_T20190909_113054_894334/game.tw-pddl,pick_and_place_simple,qwen3_4b,0,1,1,1,0,0,1,0
json_2.1.1/valid_seen/pick_and_place_simple-SoapBottle-None-CounterTop-417/trial_T20190910_112922_368384/game.tw-pddl,pick_and_place_simple,mistral7b_v03,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_and_place_simple-SoapBottle-None-CounterTop-417/trial_T20190910_112922_368384/game.tw-pddl,pick_and_place_simple,phi4_mini,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_and_place_simple-SoapBottle-None-CounterTop-417/trial_T20190910_112922_368384/game.tw-pddl,pick_and_place_simple,qwen3_4b,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_and_place_simple-SprayBottle-None-Toilet-418/trial_T20190906_190942_706186/game.tw-pddl,pick_and_place_simple,mistral7b_v03,0,1,1,1,1,0,0,0
json_2.1.1/valid_seen/pick_and_place_simple-SprayBottle-None-Toilet-418/trial_T20190906_190942_706186/game.tw-pddl,pick_and_place_simple,phi4_mini,0,1,1,1,1,0,0,0
json_2.1.1/valid_seen/pick_and_place_simple-SprayBottle-None-Toilet-418/trial_T20190906_190942_706186/game.tw-pddl,pick_and_place_simple,qwen3_4b,0,1,1,1,1,0,0,0
json_2.1.1/valid_seen/pick_and_place_simple-WineBottle-None-Shelf-7/trial_T20190907_200154_378982/game.tw-pddl,pick_and_place_simple,mistral7b_v03,0,1,1,1,1,0,0,0
json_2.1.1/valid_seen/pick_and_place_simple-WineBottle-None-Shelf-7/trial_T20190907_200154_378982/game.tw-pddl,pick_and_place_simple,phi4_mini,0,0,1,1,1,0,0,1
json_2.1.1/valid_seen/pick_and_place_simple-WineBottle-None-Shelf-7/trial_T20190907_200154_378982/game.tw-pddl,pick_and_place_simple,qwen3_4b,0,0,1,1,1,0,0,1
json_2.1.1/valid_seen/pick_clean_then_place_in_recep-ButterKnife-None-CounterTop-8/trial_T20190909_105559_983897/game.tw-pddl,pick_clean_then_place_in_recep,mistral7b_v03,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_clean_then_place_in_recep-ButterKnife-None-CounterTop-8/trial_T20190909_105559_983897/game.tw-pddl,pick_clean_then_place_in_recep,phi4_mini,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_clean_then_place_in_recep-ButterKnife-None-CounterTop-8/trial_T20190909_105559_983897/game.tw-pddl,pick_clean_then_place_in_recep,qwen3_4b,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_clean_then_place_in_recep-ButterKnife-None-Drawer-2/trial_T20190908_121728_511866/game.tw-pddl,pick_clean_then_place_in_recep,mistral7b_v03,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_clean_then_place_in_recep-ButterKnife-None-Drawer-2/trial_T20190908_121728_511866/game.tw-pddl,pick_clean_then_place_in_recep,phi4_mini,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_clean_then_place_in_recep-ButterKnife-None-Drawer-2/trial_T20190908_121728_511866/game.tw-pddl,pick_clean_then_place_in_recep,qwen3_4b,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_clean_then_place_in_recep-Cloth-None-Drawer-423/trial_T20190908_140701_251653/game.tw-pddl,pick_clean_then_place_in_recep,mistral7b_v03,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_clean_then_place_in_recep-Cloth-None-Drawer-423/trial_T20190908_140701_251653/game.tw-pddl,pick_clean_then_place_in_recep,phi4_mini,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_clean_then_place_in_recep-Cloth-None-Drawer-423/trial_T20190908_140701_251653/game.tw-pddl,pick_clean_then_place_in_recep,qwen3_4b,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_clean_then_place_in_recep-DishSponge-None-Cart-401/trial_T20190907_024634_972453/game.tw-pddl,pick_clean_then_place_in_recep,mistral7b_v03,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_clean_then_place_in_recep-DishSponge-None-Cart-401/trial_T20190907_024634_972453/game.tw-pddl,pick_clean_then_place_in_recep,phi4_mini,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_clean_then_place_in_recep-DishSponge-None-Cart-401/trial_T20190907_024634_972453/game.tw-pddl,pick_clean_then_place_in_recep,qwen3_4b,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_clean_then_place_in_recep-DishSponge-None-CounterTop-403/trial_T20190908_144357_621068/game.tw-pddl,pick_clean_then_place_in_recep,mistral7b_v03,1,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_clean_then_place_in_recep-DishSponge-None-CounterTop-403/trial_T20190908_144357_621068/game.tw-pddl,pick_clean_then_place_in_recep,phi4_mini,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_clean_then_place_in_recep-DishSponge-None-CounterTop-403/trial_T20190908_144357_621068/game.tw-pddl,pick_clean_then_place_in_recep,qwen3_4b,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_clean_then_place_in_recep-Ladle-None-DiningTable-16/trial_T20190909_183724_205399/game.tw-pddl,pick_clean_then_place_in_recep,mistral7b_v03,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_clean_then_place_in_recep-Ladle-None-DiningTable-16/trial_T20190909_183724_205399/game.tw-pddl,pick_clean_then_place_in_recep,phi4_mini,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_clean_then_place_in_recep-Ladle-None-DiningTable-16/trial_T20190909_183724_205399/game.tw-pddl,pick_clean_then_place_in_recep,qwen3_4b,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_clean_then_place_in_recep-Ladle-None-DiningTable-27/trial_T20190911_131350_027076/game.tw-pddl,pick_clean_then_place_in_recep,mistral7b_v03,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_clean_then_place_in_recep-Ladle-None-DiningTable-27/trial_T20190911_131350_027076/game.tw-pddl,pick_clean_then_place_in_recep,phi4_mini,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_clean_then_place_in_recep-Ladle-None-DiningTable-27/trial_T20190911_131350_027076/game.tw-pddl,pick_clean_then_place_in_recep,qwen3_4b,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_clean_then_place_in_recep-Tomato-None-CounterTop-25/trial_T20190909_012550_586494/game.tw-pddl,pick_clean_then_place_in_recep,mistral7b_v03,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_clean_then_place_in_recep-Tomato-None-CounterTop-25/trial_T20190909_012550_586494/game.tw-pddl,pick_clean_then_place_in_recep,phi4_mini,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_clean_then_place_in_recep-Tomato-None-CounterTop-25/trial_T20190909_012550_586494/game.tw-pddl,pick_clean_then_place_in_recep,qwen3_4b,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_cool_then_place_in_recep-Apple-None-Microwave-19/trial_T20190906_210937_878489/game.tw-pddl,pick_cool_then_place_in_recep,mistral7b_v03,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_cool_then_place_in_recep-Apple-None-Microwave-19/trial_T20190906_210937_878489/game.tw-pddl,pick_cool_then_place_in_recep,phi4_mini,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_cool_then_place_in_recep-Apple-None-Microwave-19/trial_T20190906_210937_878489/game.tw-pddl,pick_cool_then_place_in_recep,qwen3_4b,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_cool_then_place_in_recep-Bread-None-CounterTop-7/trial_T20190909_045605_307949/game.tw-pddl,pick_cool_then_place_in_recep,mistral7b_v03,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_cool_then_place_in_recep-Bread-None-CounterTop-7/trial_T20190909_045605_307949/game.tw-pddl,pick_cool_then_place_in_recep,phi4_mini,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_cool_then_place_in_recep-Bread-None-CounterTop-7/trial_T20190909_045605_307949/game.tw-pddl,pick_cool_then_place_in_recep,qwen3_4b,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_cool_then_place_in_recep-Cup-None-SideTable-21/trial_T20190906_192823_237997/game.tw-pddl,pick_cool_then_place_in_recep,mistral7b_v03,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_cool_then_place_in_recep-Cup-None-SideTable-21/trial_T20190906_192823_237997/game.tw-pddl,pick_cool_then_place_in_recep,phi4_mini,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_cool_then_place_in_recep-Cup-None-SideTable-21/trial_T20190906_192823_237997/game.tw-pddl,pick_cool_then_place_in_recep,qwen3_4b,0,1,1,1,0,0,1,0
json_2.1.1/valid_seen/pick_cool_then_place_in_recep-Egg-None-Microwave-24/trial_T20190908_234112_645480/game.tw-pddl,pick_cool_then_place_in_recep,mistral7b_v03,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_cool_then_place_in_recep-Egg-None-Microwave-24/trial_T20190908_234112_645480/game.tw-pddl,pick_cool_then_place_in_recep,phi4_mini,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_cool_then_place_in_recep-Egg-None-Microwave-24/trial_T20190908_234112_645480/game.tw-pddl,pick_cool_then_place_in_recep,qwen3_4b,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_cool_then_place_in_recep-Pan-None-DiningTable-7/trial_T20190908_232648_241836/game.tw-pddl,pick_cool_then_place_in_recep,mistral7b_v03,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_cool_then_place_in_recep-Pan-None-DiningTable-7/trial_T20190908_232648_241836/game.tw-pddl,pick_cool_then_place_in_recep,phi4_mini,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_cool_then_place_in_recep-Pan-None-DiningTable-7/trial_T20190908_232648_241836/game.tw-pddl,pick_cool_then_place_in_recep,qwen3_4b,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_cool_then_place_in_recep-Pan-None-StoveBurner-18/trial_T20190906_181023_216915/game.tw-pddl,pick_cool_then_place_in_recep,mistral7b_v03,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_cool_then_place_in_recep-Pan-None-StoveBurner-18/trial_T20190906_181023_216915/game.tw-pddl,pick_cool_then_place_in_recep,phi4_mini,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_cool_then_place_in_recep-Pan-None-StoveBurner-18/trial_T20190906_181023_216915/game.tw-pddl,pick_cool_then_place_in_recep,qwen3_4b,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_cool_then_place_in_recep-Plate-None-Cabinet-27/trial_T20190906_173120_350651/game.tw-pddl,pick_cool_then_place_in_recep,mistral7b_v03,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_cool_then_place_in_recep-Plate-None-Cabinet-27/trial_T20190906_173120_350651/game.tw-pddl,pick_cool_then_place_in_recep,phi4_mini,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_cool_then_place_in_recep-Plate-None-Cabinet-27/trial_T20190906_173120_350651/game.tw-pddl,pick_cool_then_place_in_recep,qwen3_4b,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_cool_then_place_in_recep-Pot-None-DiningTable-21/trial_T20190909_004531_429065/game.tw-pddl,pick_cool_then_place_in_recep,mistral7b_v03,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_cool_then_place_in_recep-Pot-None-DiningTable-21/trial_T20190909_004531_429065/game.tw-pddl,pick_cool_then_place_in_recep,phi4_mini,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_cool_then_place_in_recep-Pot-None-DiningTable-21/trial_T20190909_004531_429065/game.tw-pddl,pick_cool_then_place_in_recep,qwen3_4b,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_heat_then_place_in_recep-Mug-None-Cabinet-26/trial_T20190909_062333_424779/game.tw-pddl,pick_heat_then_place_in_recep,mistral7b_v03,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_heat_then_place_in_recep-Mug-None-Cabinet-26/trial_T20190909_062333_424779/game.tw-pddl,pick_heat_then_place_in_recep,phi4_mini,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_heat_then_place_in_recep-Mug-None-Cabinet-26/trial_T20190909_062333_424779/game.tw-pddl,pick_heat_then_place_in_recep,qwen3_4b,1,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_heat_then_place_in_recep-Mug-None-Cabinet-3/trial_T20190909_014639_335717/game.tw-pddl,pick_heat_then_place_in_recep,mistral7b_v03,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_heat_then_place_in_recep-Mug-None-Cabinet-3/trial_T20190909_014639_335717/game.tw-pddl,pick_heat_then_place_in_recep,phi4_mini,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_heat_then_place_in_recep-Mug-None-Cabinet-3/trial_T20190909_014639_335717/game.tw-pddl,pick_heat_then_place_in_recep,qwen3_4b,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_heat_then_place_in_recep-Mug-None-CoffeeMachine-1/trial_T20190907_222640_487432/game.tw-pddl,pick_heat_then_place_in_recep,mistral7b_v03,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_heat_then_place_in_recep-Mug-None-CoffeeMachine-1/trial_T20190907_222640_487432/game.tw-pddl,pick_heat_then_place_in_recep,phi4_mini,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_heat_then_place_in_recep-Mug-None-CoffeeMachine-1/trial_T20190907_222640_487432/game.tw-pddl,pick_heat_then_place_in_recep,qwen3_4b,0,1,1,1,0,0,1,0
json_2.1.1/valid_seen/pick_heat_then_place_in_recep-Plate-None-Cabinet-1/trial_T20190908_070946_578973/game.tw-pddl,pick_heat_then_place_in_recep,mistral7b_v03,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_heat_then_place_in_recep-Plate-None-Cabinet-1/trial_T20190908_070946_578973/game.tw-pddl,pick_heat_then_place_in_recep,phi4_mini,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_heat_then_place_in_recep-Plate-None-Cabinet-1/trial_T20190908_070946_578973/game.tw-pddl,pick_heat_then_place_in_recep,qwen3_4b,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_heat_then_place_in_recep-Potato-None-Fridge-11/trial_T20190909_011341_436523/game.tw-pddl,pick_heat_then_place_in_recep,mistral7b_v03,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_heat_then_place_in_recep-Potato-None-Fridge-11/trial_T20190909_011341_436523/game.tw-pddl,pick_heat_then_place_in_recep,phi4_mini,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_heat_then_place_in_recep-Potato-None-Fridge-11/trial_T20190909_011341_436523/game.tw-pddl,pick_heat_then_place_in_recep,qwen3_4b,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_heat_then_place_in_recep-Tomato-None-DiningTable-16/trial_T20190907_201243_698086/game.tw-pddl,pick_heat_then_place_in_recep,mistral7b_v03,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_heat_then_place_in_recep-Tomato-None-DiningTable-16/trial_T20190907_201243_698086/game.tw-pddl,pick_heat_then_place_in_recep,phi4_mini,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_heat_then_place_in_recep-Tomato-None-DiningTable-16/trial_T20190907_201243_698086/game.tw-pddl,pick_heat_then_place_in_recep,qwen3_4b,1,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_heat_then_place_in_recep-Tomato-None-Fridge-15/trial_T20190909_020200_054379/game.tw-pddl,pick_heat_then_place_in_recep,mistral7b_v03,1,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_heat_then_place_in_recep-Tomato-None-Fridge-15/trial_T20190909_020200_054379/game.tw-pddl,pick_heat_then_place_in_recep,phi4_mini,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_heat_then_place_in_recep-Tomato-None-Fridge-15/trial_T20190909_020200_054379/game.tw-pddl,pick_heat_then_place_in_recep,qwen3_4b,1,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_heat_then_place_in_recep-Tomato-None-Fridge-24/trial_T20190908_033721_967359/game.tw-pddl,pick_heat_then_place_in_recep,mistral7b_v03,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_heat_then_place_in_recep-Tomato-None-Fridge-24/trial_T20190908_033721_967359/game.tw-pddl,pick_heat_then_place_in_recep,phi4_mini,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_heat_then_place_in_recep-Tomato-None-Fridge-24/trial_T20190908_033721_967359/game.tw-pddl,pick_heat_then_place_in_recep,qwen3_4b,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_two_obj_and_place-AlarmClock-None-Dresser-305/trial_T20190907_165826_194855/game.tw-pddl,pick_two_obj_and_place,mistral7b_v03,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_two_obj_and_place-AlarmClock-None-Dresser-305/trial_T20190907_165826_194855/game.tw-pddl,pick_two_obj_and_place,phi4_mini,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_two_obj_and_place-AlarmClock-None-Dresser-305/trial_T20190907_165826_194855/game.tw-pddl,pick_two_obj_and_place,qwen3_4b,1,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_two_obj_and_place-Book-None-Desk-313/trial_T20190908_125930_920681/game.tw-pddl,pick_two_obj_and_place,mistral7b_v03,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_two_obj_and_place-Book-None-Desk-313/trial_T20190908_125930_920681/game.tw-pddl,pick_two_obj_and_place,phi4_mini,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_two_obj_and_place-Book-None-Desk-313/trial_T20190908_125930_920681/game.tw-pddl,pick_two_obj_and_place,qwen3_4b,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_two_obj_and_place-Box-None-CoffeeTable-213/trial_T20190906_200927_069627/game.tw-pddl,pick_two_obj_and_place,mistral7b_v03,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_two_obj_and_place-Box-None-CoffeeTable-213/trial_T20190906_200927_069627/game.tw-pddl,pick_two_obj_and_place,phi4_mini,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_two_obj_and_place-Box-None-CoffeeTable-213/trial_T20190906_200927_069627/game.tw-pddl,pick_two_obj_and_place,qwen3_4b,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_two_obj_and_place-CreditCard-None-Dresser-311/trial_T20190907_201917_045715/game.tw-pddl,pick_two_obj_and_place,mistral7b_v03,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_two_obj_and_place-CreditCard-None-Dresser-311/trial_T20190907_201917_045715/game.tw-pddl,pick_two_obj_and_place,phi4_mini,0,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_two_obj_and_place-CreditCard-None-Dresser-311/trial_T20190907_201917_045715/game.tw-pddl,pick_two_obj_and_place,qwen3_4b,1,0,1,1,0,0,1,1
json_2.1.1/valid_seen/pick_two_obj_and_place-CreditCard-None-Safe-323/trial_T20190907_001129_214240/game.tw-pddl,pick_two_obj_and_place,mistral7b_v03,0,0,1,1,0,0,1,1
